Serving HTTP on 0.0.0.0 port 8050 (http://0.0.0.0:8050/) ...
127.0.0.1 - - [29/Nov/2025 12:59:52] "GET /?_gl=1*i5vf02*_gcl_au*MTIzMTI5NTEuMTc2NDQxOTE5Ng..*_ga*MzI3ODU5NzUwLjE3NjQ0MTkxOTU.*_ga_8NW18Q4WF2*czE3NjQ0MTkxOTUkbzEkZzEkdDE3NjQ0MjEwNjkkajU5JGwwJGgxOTc1NjEwODM5&password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 12:59:53] code 404, message File not found
127.0.0.1 - - [29/Nov/2025 12:59:53] "GET /images/logo.png?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 404 -
127.0.0.1 - - [29/Nov/2025 12:59:53] "GET /css/style.css?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 12:59:53] "GET /js/script.js?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 12:59:57] code 404, message File not found
127.0.0.1 - - [29/Nov/2025 12:59:57] "GET /images/favicon.ico?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 404 -
127.0.0.1 - - [29/Nov/2025 13:00:57] "GET /?_gl=1*1a9qwgh*_gcl_au*MTIzMTI5NTEuMTc2NDQxOTE5Ng..*_ga*MzI3ODU5NzUwLjE3NjQ0MTkxOTU.*_ga_8NW18Q4WF2*czE3NjQ0MTkxOTUkbzEkZzEkdDE3NjQ0MjEwNjkkajU5JGwwJGgxOTc1NjEwODM5&password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:00:58] "GET /images/logo.svg?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:00:58] "GET /css/style.css?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:00:59] "GET /images/logo.png?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:00:59] "GET /js/script.js?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:02:27] code 404, message File not found
127.0.0.1 - - [29/Nov/2025 13:02:27] "GET /privacy.html?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 404 -
